p93;i_6_p9;i_2_p9;p4;p1;p3;p5;region;p7;p92;p84;p91;p96;p10;p8;p81;p83;folio_encuesta;fecha;diferencia_edad_pareja;anios_convivencia_aprox
3;7;7;24;1;1;11;1;8;2;2022;25;1;5;4;1;1;1105901;2022-09-28;-1;
3;7;5;31;2;2;15;1;8;3;2008;31;1;4;5;1;1;1106101;2022-08-26;0;
3;4;6;69;1;1;9;1;1;5;1975;65;;3;3;1;1;1106108;2022-08-31;4;
3;7;7;29;1;1;9;1;1;3;2018;29;1;5;5;1;1;1106109;2022-08-31;0;
3;1;7;74;1;1;8;1;1;4;1989;70;2;4;4;1;1;1106110;2022-08-31;4;
1;7;5;70;2;2;7;1;1;3;1971;69;1;3;3;1;1;1106204;2022-08-25;1;
1;6;6;30;2;2;11;1;1;2;2014;36;1;4;4;1;1;1106207;2022-08-24;-6;
2;6;5;36;2;2;15;1;8;5;2004;40;1;3;4;1;1;1106208;2022-08-24;-4;
3;5;6;71;1;1;7;1;1;2;1969;72;1;4;3;1;1;1106210;2022-08-03;-1;
1;7;6;48;2;2;7;1;1;1;1994;49;1;3;4;1;1;1106401;2022-09-12;-1;
3;6;6;24;1;1;6;1;2;1;2021;24;1;4;5;1;1;1106402;2022-09-12;0;
3;5;7;34;1;1;9;1;8;3;2015;36;;4;3;1;1;1106403;2022-09-12;-2;
1;7;4;34;2;2;9;1;8;6;2008;38;1;4;4;1;1;1106404;2022-09-12;-4;
3;7;4;27;1;1;6;1;8;5;2021;19;1;4;3;1;1;1106405;2022-09-12;8;
1;6;6;28;2;2;11;1;8;3;2010;30;;4;4;1;1;1106410;2022-09-28;-2;
3;7;4;26;1;1;7;1;8;3;2015;27;1;4;4;1;1;1106502;2022-09-01;-1;
3;5;7;79;1;1;10;1;7;5;2018;61;1;4;4;1;1;1106503;2022-10-11;18;
3;7;6;47;1;1;10;1;2;2;2007;42;1;4;4;1;1;1106504;2022-10-11;5;
3;6;5;31;1;1;15;1;8;2;2022;34;1;5;5;1;1;1106506;2022-10-12;-3;
3;7;6;30;1;1;7;1;1;3;2015;32;1;5;5;1;1;1106507;2022-10-12;-2;
3;3;5;60;1;1;10;1;1;1;1984;60;1;2;4;1;1;1106509;2022-10-14;0;
;2;3;42;2;2;9;1;8;2;2004;54;;5;3;1;1;1106605;2022-08-24;-12;
3;7;4;71;2;2;7;1;1;4;1971;75;1;3;4;1;1;1106608;2022-08-23;-4;
3;6;2;36;2;2;9;1;2;3;2011;34;1;3;4;1;1;1106610;2022-08-23;2;
1;5;5;31;2;2;9;1;2;6;2016;34;1;3;3;1;1;1106701;2022-08-24;-3;
3;2;7;63;2;2;9;1;7;5;1991;65;2;5;4;1;1;1106705;2022-08-25;-2;
3;7;5;36;1;1;11;1;8;5;2014;45;1;4;4;1;1;1106801;2022-10-29;-9;
3;7;7;40;1;1;9;1;8;5;2007;39;1;4;3;1;1;1106901;2022-10-29;1;
3;7;7;36;1;1;9;1;2;4;2021;33;;5;4;1;1;1106902;2022-10-30;3;
